customer_id,signup_date,country,acquisition_channel
1,2023-11-24,US,organic
2,2023-05-21,UK,paid_search
3,2023-03-13,US,organic
4,2023-10-30,AU,organic
5,2023-01-16,US,paid_search
6,2023-04-30,DE,organic
7,2023-10-15,UK,email
8,2023-04-23,AU,social
9,2023-01-04,UK,email
10,2023-06-24,CA,paid_search
11,2023-04-21,CA,organic
12,2023-02-17,AU,organic
13,2023-07-03,CA,social
14,2023-01-23,AU,organic
15,2023-07-13,US,social
16,2023-11-18,DE,social
17,2023-10-23,UK,organic
18,2023-01-24,UK,social
19,2023-02-10,UK,organic
20,2023-07-14,CA,email
21,2023-11-22,CA,paid_search
22,2023-07-09,CA,paid_search
23,2023-12-10,CA,organic
24,2023-11-08,UK,paid_search
25,2023-03-25,AU,email
26,2023-05-19,DE,paid_search
27,2023-12-17,CA,organic
28,2023-04-28,US,social
29,2023-07-25,CA,organic
30,2023-04-19,DE,social
31,2023-04-19,AU,email
32,2023-11-26,AU,paid_search
33,2023-05-16,UK,paid_search
34,2023-10-15,DE,social
35,2023-10-27,AU,email
36,2023-07-05,UK,paid_search
37,2023-09-18,AU,organic
38,2023-01-25,US,paid_search
39,2023-11-18,UK,email
40,2023-11-02,US,email
41,2023-07-15,DE,email
42,2023-09-28,CA,organic
43,2023-12-15,US,social
44,2023-11-25,CA,organic
45,2023-05-31,AU,paid_search
46,2023-08-21,US,social
47,2023-09-14,UK,organic
48,2023-11-17,CA,paid_search
49,2023-03-20,CA,paid_search
50,2023-10-04,DE,organic
51,2023-11-03,CA,email
52,2023-01-10,US,social
53,2023-06-07,UK,organic
54,2023-05-04,DE,organic
55,2023-02-13,AU,organic
56,2023-09-30,UK,paid_search
57,2023-12-04,AU,paid_search
58,2023-05-16,DE,email
59,2023-04-19,DE,paid_search
60,2024-01-01,CA,email
61,2023-12-10,CA,email
62,2023-09-22,AU,organic
63,2023-05-07,UK,organic
64,2023-06-23,US,paid_search
65,2023-10-29,UK,organic
66,2023-02-06,US,paid_search
67,2023-02-04,US,social
68,2023-02-06,DE,paid_search
69,2023-05-23,AU,paid_search
70,2023-10-04,UK,email
71,2023-05-05,AU,email
72,2023-04-08,US,organic
73,2023-12-04,AU,social
74,2023-08-05,AU,email
75,2023-01-28,US,organic
76,2023-07-26,CA,organic
77,2023-05-08,UK,paid_search
78,2023-10-02,AU,paid_search
79,2023-08-05,UK,social
80,2023-08-25,UK,organic
81,2023-08-15,DE,organic
82,2023-01-26,DE,organic
83,2023-02-17,UK,paid_search
84,2023-07-28,AU,email
85,2023-04-20,AU,organic
86,2023-03-26,AU,organic
87,2023-07-19,CA,email
88,2023-05-27,AU,email
89,2023-03-21,UK,social
90,2023-04-22,US,organic
91,2023-06-10,US,organic
92,2023-10-27,AU,paid_search
93,2023-01-30,DE,organic
94,2023-04-06,US,organic
95,2023-12-12,UK,email
96,2023-03-03,DE,paid_search
97,2023-10-24,DE,organic
98,2023-11-14,US,email
99,2023-12-03,DE,social
100,2023-05-14,UK,social
101,2023-05-03,CA,email
102,2023-03-09,CA,email
103,2023-06-11,US,organic
104,2023-08-23,DE,organic
105,2023-02-07,DE,paid_search
106,2023-09-17,CA,paid_search
107,2023-06-28,US,paid_search
108,2023-07-09,CA,paid_search
109,2023-08-13,DE,social
110,2023-11-10,DE,organic
111,2023-12-08,DE,social
112,2023-12-06,US,paid_search
113,2023-05-16,US,organic
114,2023-10-11,UK,social
115,2023-05-25,DE,paid_search
116,2023-06-25,UK,social
117,2023-09-16,AU,social
118,2023-01-27,US,email
119,2023-05-22,US,organic
120,2023-06-20,UK,social
121,2023-03-24,AU,email
122,2023-10-15,US,organic
123,2023-02-08,UK,organic
124,2023-07-09,DE,paid_search
125,2023-08-09,UK,organic
126,2023-06-07,CA,organic
127,2023-07-03,UK,paid_search
128,2023-12-08,US,social
129,2023-10-14,AU,paid_search
130,2023-05-02,UK,paid_search
131,2023-07-31,US,paid_search
132,2023-06-20,AU,paid_search
133,2023-05-17,UK,organic
134,2023-07-15,US,email
135,2023-04-24,UK,email
136,2023-06-29,CA,paid_search
137,2023-04-25,US,paid_search
138,2023-07-24,CA,social
139,2023-02-05,CA,social
140,2023-11-25,DE,email
141,2023-12-14,DE,social
142,2023-01-15,US,social
143,2023-04-02,DE,social
144,2023-01-20,US,email
145,2023-06-26,CA,email
146,2023-11-07,DE,organic
147,2023-07-17,DE,paid_search
148,2023-05-11,US,email
149,2023-01-01,DE,paid_search
150,2023-07-06,AU,organic
151,2023-12-07,CA,social
152,2023-12-06,US,social
153,2023-09-17,CA,email
154,2023-06-17,AU,social
155,2023-10-11,UK,paid_search
156,2023-08-04,AU,paid_search
157,2023-11-12,DE,social
158,2023-07-27,DE,organic
159,2023-06-05,CA,paid_search
160,2023-08-09,DE,social
161,2023-08-27,AU,email
162,2023-12-12,UK,email
163,2023-03-28,US,social
164,2023-09-21,DE,social
165,2023-02-17,UK,social
166,2023-04-26,UK,paid_search
167,2023-01-13,US,paid_search
168,2023-09-01,DE,organic
169,2023-08-22,AU,paid_search
170,2023-12-23,AU,email
171,2023-07-24,UK,paid_search
172,2023-12-02,US,organic
173,2023-08-06,UK,paid_search
174,2023-12-23,DE,email
175,2023-01-26,DE,paid_search
176,2023-03-04,AU,paid_search
177,2023-08-26,DE,social
178,2023-08-15,DE,email
179,2023-10-08,AU,paid_search
180,2023-09-01,AU,social
181,2023-05-07,CA,email
182,2023-11-17,UK,social
183,2023-08-14,US,social
184,2023-05-01,CA,social
185,2023-06-13,DE,organic
186,2023-03-12,UK,paid_search
187,2023-07-16,UK,paid_search
188,2023-02-02,AU,email
189,2023-06-19,DE,email
190,2023-08-01,US,paid_search
191,2023-08-04,AU,organic
192,2023-10-22,AU,email
193,2023-01-04,CA,social
194,2023-07-19,AU,paid_search
195,2023-09-07,UK,social
196,2023-08-12,AU,organic
197,2023-07-19,CA,email
198,2023-03-26,AU,paid_search
199,2023-11-15,DE,organic
200,2023-07-21,DE,organic
