customer_id,signup_date,country,acquisition_channel
1,2023-11-24,US,Organic
2,2023-05-21,UK,Paid_Search
3,2023-03-13,US,Organic
4,2023-10-30,AU,Organic
5,2023-01-16,US,Paid_Search
6,2023-04-30,DE,Organic
7,2023-10-15,UK,Email
8,2023-04-23,AU,Social
9,2023-01-04,UK,Email
10,2023-06-24,CA,Paid_Search
11,2023-04-21,CA,Organic
12,2023-02-17,AU,Organic
13,2023-07-03,CA,Social
14,2023-01-23,AU,Organic
15,2023-07-13,US,Social
16,2023-11-18,DE,Social
17,2023-10-23,UK,Organic
18,2023-01-24,UK,Social
19,2023-02-10,UK,Organic
20,2023-07-14,CA,Email
21,2023-11-22,CA,Paid_Search
22,2023-07-09,CA,Paid_Search
23,2023-12-10,CA,Organic
24,2023-11-08,UK,Paid_Search
25,2023-03-25,AU,Email
26,2023-05-19,DE,Paid_Search
27,2023-12-17,CA,Organic
28,2023-04-28,US,Social
29,2023-07-25,CA,Organic
30,2023-04-19,DE,Social
31,2023-04-19,AU,Email
32,2023-11-26,AU,Paid_Search
33,2023-05-16,UK,Paid_Search
34,2023-10-15,DE,Social
35,2023-10-27,AU,Email
36,2023-07-05,UK,Paid_Search
37,2023-09-18,AU,Organic
38,2023-01-25,US,Paid_Search
39,2023-11-18,UK,Email
40,2023-11-02,US,Email
41,2023-07-15,DE,Email
42,2023-09-28,CA,Organic
43,2023-12-15,US,Social
44,2023-11-25,CA,Organic
45,2023-05-31,AU,Paid_Search
46,2023-08-21,US,Social
47,2023-09-14,UK,Organic
48,2023-11-17,CA,Paid_Search
49,2023-03-20,CA,Paid_Search
50,2023-10-04,DE,Organic
51,2023-11-03,CA,Email
52,2023-01-10,US,Social
53,2023-06-07,UK,Organic
54,2023-05-04,DE,Organic
55,2023-02-13,AU,Organic
56,2023-09-30,UK,Paid_Search
57,2023-12-04,AU,Paid_Search
58,2023-05-16,DE,Email
59,2023-04-19,DE,Paid_Search
60,2024-01-01,CA,Email
61,2023-12-10,CA,Email
62,2023-09-22,AU,Organic
63,2023-05-07,UK,Organic
64,2023-06-23,US,Paid_Search
65,2023-10-29,UK,Organic
66,2023-02-06,US,Paid_Search
67,2023-02-04,US,Social
68,2023-02-06,DE,Paid_Search
69,2023-05-23,AU,Paid_Search
70,2023-10-04,UK,Email
71,2023-05-05,AU,Email
72,2023-04-08,US,Organic
73,2023-12-04,AU,Social
74,2023-08-05,AU,Email
75,2023-01-28,US,Organic
76,2023-07-26,CA,Organic
77,2023-05-08,UK,Paid_Search
78,2023-10-02,AU,Paid_Search
79,2023-08-05,UK,Social
80,2023-08-25,UK,Organic
81,2023-08-15,DE,Organic
82,2023-01-26,DE,Organic
83,2023-02-17,UK,Paid_Search
84,2023-07-28,AU,Email
85,2023-04-20,AU,Organic
86,2023-03-26,AU,Organic
87,2023-07-19,CA,Email
88,2023-05-27,AU,Email
89,2023-03-21,UK,Social
90,2023-04-22,US,Organic
91,2023-06-10,US,Organic
92,2023-10-27,AU,Paid_Search
93,2023-01-30,DE,Organic
94,2023-04-06,US,Organic
95,2023-12-12,UK,Email
96,2023-03-03,DE,Paid_Search
97,2023-10-24,DE,Organic
98,2023-11-14,US,Email
99,2023-12-03,DE,Social
100,2023-05-14,UK,Social
101,2023-05-03,CA,Email
102,2023-03-09,CA,Email
103,2023-06-11,US,Organic
104,2023-08-23,DE,Organic
105,2023-02-07,DE,Paid_Search
106,2023-09-17,CA,Paid_Search
107,2023-06-28,US,Paid_Search
108,2023-07-09,CA,Paid_Search
109,2023-08-13,DE,Social
110,2023-11-10,DE,Organic
111,2023-12-08,DE,Social
112,2023-12-06,US,Paid_Search
113,2023-05-16,US,Organic
114,2023-10-11,UK,Social
115,2023-05-25,DE,Paid_Search
116,2023-06-25,UK,Social
117,2023-09-16,AU,Social
118,2023-01-27,US,Email
119,2023-05-22,US,Organic
120,2023-06-20,UK,Social
121,2023-03-24,AU,Email
122,2023-10-15,US,Organic
123,2023-02-08,UK,Organic
124,2023-07-09,DE,Paid_Search
125,2023-08-09,UK,Organic
126,2023-06-07,CA,Organic
127,2023-07-03,UK,Paid_Search
128,2023-12-08,US,Social
129,2023-10-14,AU,Paid_Search
130,2023-05-02,UK,Paid_Search
131,2023-07-31,US,Paid_Search
132,2023-06-20,AU,Paid_Search
133,2023-05-17,UK,Organic
134,2023-07-15,US,Email
135,2023-04-24,UK,Email
136,2023-06-29,CA,Paid_Search
137,2023-04-25,US,Paid_Search
138,2023-07-24,CA,Social
139,2023-02-05,CA,Social
140,2023-11-25,DE,Email
141,2023-12-14,DE,Social
142,2023-01-15,US,Social
143,2023-04-02,DE,Social
144,2023-01-20,US,Email
145,2023-06-26,CA,Email
146,2023-11-07,DE,Organic
147,2023-07-17,DE,Paid_Search
148,2023-05-11,US,Email
149,2023-01-01,DE,Paid_Search
150,2023-07-06,AU,Organic
151,2023-12-07,CA,Social
152,2023-12-06,US,Social
153,2023-09-17,CA,Email
154,2023-06-17,AU,Social
155,2023-10-11,UK,Paid_Search
156,2023-08-04,AU,Paid_Search
157,2023-11-12,DE,Social
158,2023-07-27,DE,Organic
159,2023-06-05,CA,Paid_Search
160,2023-08-09,DE,Social
161,2023-08-27,AU,Email
162,2023-12-12,UK,Email
163,2023-03-28,US,Social
164,2023-09-21,DE,Social
165,2023-02-17,UK,Social
166,2023-04-26,UK,Paid_Search
167,2023-01-13,US,Paid_Search
168,2023-09-01,DE,Organic
169,2023-08-22,AU,Paid_Search
170,2023-12-23,AU,Email
171,2023-07-24,UK,Paid_Search
172,2023-12-02,US,Organic
173,2023-08-06,UK,Paid_Search
174,2023-12-23,DE,Email
175,2023-01-26,DE,Paid_Search
176,2023-03-04,AU,Paid_Search
177,2023-08-26,DE,Social
178,2023-08-15,DE,Email
179,2023-10-08,AU,Paid_Search
180,2023-09-01,AU,Social
181,2023-05-07,CA,Email
182,2023-11-17,UK,Social
183,2023-08-14,US,Social
184,2023-05-01,CA,Social
185,2023-06-13,DE,Organic
186,2023-03-12,UK,Paid_Search
187,2023-07-16,UK,Paid_Search
188,2023-02-02,AU,Email
189,2023-06-19,DE,Email
190,2023-08-01,US,Paid_Search
191,2023-08-04,AU,Organic
192,2023-10-22,AU,Email
193,2023-01-04,CA,Social
194,2023-07-19,AU,Paid_Search
195,2023-09-07,UK,Social
196,2023-08-12,AU,Organic
197,2023-07-19,CA,Email
198,2023-03-26,AU,Paid_Search
199,2023-11-15,DE,Organic
200,2023-07-21,DE,Organic
